image_id,class_label,image_path,ground_truth_mask_path,predicted_mask_path,include_in_evaluation,evaluation_subset,class_label_review_status,ground_truth_mask_review_status,review_type,annotation_method,foreground_value,background_value,image_width,image_height,ground_truth_width,ground_truth_height,predicted_width,predicted_height,dimensions_match,ground_truth_binary_exact,predicted_binary_exact,ground_truth_foreground_fraction,predicted_foreground_fraction,image_sha256,ground_truth_mask_sha256,predicted_mask_sha256,notes
dot_01,dots,segmentation_dataset/images/dots/dot_01.png,segmentation_dataset/ground_truth_masks/dots/dot_01_mask.png,segmentation_dataset/predicted_masks/dots/dot_01_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,860,868,860,868,860,868,yes,yes,yes,0.21622013,0.20974708,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,b64bc66ea729bbfc5820bcd020fcb7cc6156e06f388239855c177e756dc2cc64,974da7bee630d7d1c0272c529ce078baf5abccf67b4ca6f61b2414ba96880759,
dots_02,dots,segmentation_dataset/images/dots/dots_02.png,segmentation_dataset/ground_truth_masks/dots/dots_02_mask.png,segmentation_dataset/predicted_masks/dots/dots_02_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,920,958,920,958,920,958,yes,yes,yes,0.07501248,0.07806799,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,a66f86403b9b0118690907e3615812ab0093616f06dd6ce0558d12a9d7bc6a42,648c7c65893f0788905e258307f1c438f2883cc90733a38a21d8dab2951a7cd2,
dots_03,dots,segmentation_dataset/images/dots/dots_03.png,segmentation_dataset/ground_truth_masks/dots/dots_03_mask.png,segmentation_dataset/predicted_masks/dots/dots_03_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1020,858,1020,858,1020,858,yes,yes,yes,0.19792152,0.20351022,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,850722879122f30c71ac1fe36ffc6c5b3081bebf7a348f80b53bb7019c8d97ae,eb61433b42020cbccbd32f2ef68968843ad69698087edfb5bba92fc91913b7ba,
dots_04,dots,segmentation_dataset/images/dots/dots_04.png,segmentation_dataset/ground_truth_masks/dots/dots_04_mask.png,segmentation_dataset/predicted_masks/dots/dots_04_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,640,562,640,562,640,562,yes,yes,yes,0.31669262,0.30867438,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,1bcad0fcbd0e2046054737a3f1a829ab296d231476064b0c22377e8fc36f6815,31b3626e8e69389a557b1e009af310d0df5b551972bedfdd867cfe346e2a274c,
dots_05,dots,segmentation_dataset/images/dots/dots_05.png,segmentation_dataset/ground_truth_masks/dots/dots_05_mask.png,segmentation_dataset/predicted_masks/dots/dots_05_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,836,762,836,762,836,762,yes,yes,yes,0.16816581,0.17015629,0f3a2068e5ed6234849c23a3c0cddff64eb3af18fa6894eff81e87b5838675fe,37a5f1bb9c61f28dfa448281cc4c760a3c869a02b3d7d3b42267b28ca52604c1,7d282c6718a3f5a9116a842e9567dec4e6efc235272ee6cf0926d657fec9da8f,
dots_06,dots,segmentation_dataset/images/dots/dots_06.png,segmentation_dataset/ground_truth_masks/dots/dots_06_mask.png,segmentation_dataset/predicted_masks/dots/dots_06_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,714,684,714,684,714,684,yes,yes,yes,0.21458876,0.21711345,32ec6c712cb72576ef26fe249f19d7f696e0754f78c4a6b6b587082577d563d2,8d9d0dc26770652cd498945db1d1ddc0a73e4b4e538827255710a911723dacea,0221e164e43b0ccde3434aef0116238f993726b94e6f45662d4e2b9946f23cad,
dots_07,dots,segmentation_dataset/images/dots/dots_07.png,segmentation_dataset/ground_truth_masks/dots/dots_07_mask.png,segmentation_dataset/predicted_masks/dots/dots_07_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,830,822,830,822,830,822,yes,yes,yes,0.28171958,0.29228447,04bdae8ae6131228a33bc8d0c97a2aa015b6dd567e11ff34050148fb83167b8e,e5c0f7af8071179f616fcfaae6622507d76e4e93c5aef7e76e8b71ece37c13f8,09cd1ab8dc2e56e7da3a94cd13f189522a99eea3a336a0cccd5ec45ff33b3a02,
dots_08,dots,segmentation_dataset/images/dots/dots_08.png,segmentation_dataset/ground_truth_masks/dots/dots_08_mask.png,segmentation_dataset/predicted_masks/dots/dots_08_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,820,812,820,812,820,812,yes,yes,yes,0.32745104,0.32596119,686ecc072c1363094b3045177613e282cbeec0e0a950ffd8feed8daacc836883,7e3422f9baf67e69d1f5d7df68ae2e82dc6d78d5d2d648485764638a2dd24579,cf00b04ac6fe6e993361d9844d6ed814bbdebc8361eeb8853df39eaac7f6f02e,
dots_09,dots,segmentation_dataset/images/dots/dots_09.png,segmentation_dataset/ground_truth_masks/dots/dots_09_mask.png,segmentation_dataset/predicted_masks/dots/dots_09_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,808,728,808,728,808,728,yes,yes,yes,0.18529506,0.18182359,36372990e82fa4a147cbea76e2d6c640ec3e03721ae6f03d0e8cbc9473a30042,7d7321a8ae9ff2dd1c273e575405dec1d0387cea13122a73aa552b456464d715,030fd2a4fc6d211145d45b9482ab4e60f864c34b4a9bdf7fff32c00b87632c6e,
dots_10,dots,segmentation_dataset/images/dots/dots_10.png,segmentation_dataset/ground_truth_masks/dots/dots_10_mask.png,segmentation_dataset/predicted_masks/dots/dots_10_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,738,706,738,706,738,706,yes,yes,yes,0.2159097,0.22296307,b9e9c498232a03edfa0d90e41d543079b5845d08e18aec08103adf9454363c23,996a7aaf3156a534cf88906b2224b4c1f41d5d9c9d9eb573c328cd323755a4e5,cb6872cb042d47faf9c6269147c58b1d4fe11e61a31d323e5dd3ba2d1c048197,
dots_11,dots,segmentation_dataset/images/dots/dots_11.png,segmentation_dataset/ground_truth_masks/dots/dots_11_mask.png,segmentation_dataset/predicted_masks/dots/dots_11_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,656,724,656,724,656,724,yes,yes,yes,0.22123871,0.21972696,b03c485817525b96c45b8e5286da06fed5a69c84fdb1095a610a8ca448980166,a99987df677b6154818f9f43f360c6b48f4187faca533008af068521e9601d8a,3e1c4d20329dc98a867d30059ca073a0e502d04083f44160f03dd99a319e9598,
dots_13,dots,segmentation_dataset/images/dots/dots_13.png,segmentation_dataset/ground_truth_masks/dots/dots_13_mask.png,segmentation_dataset/predicted_masks/dots/dots_13_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,502,588,502,588,502,588,yes,yes,yes,0.11097786,0.10918909,3d210a136f63aeeabc5f020d3a2c4d4e15ebc3b70be11a6c23dd3041677e93f8,e23a2a74a089672c90b873bce90a326da8c1e7f36f140b0f4135316a32d54e73,3644e966567e4f86c5ed246bd3772174c078ef8d5327ad13a0b3a29e90f08645,
dots_14,dots,segmentation_dataset/images/dots/dots_14.png,segmentation_dataset/ground_truth_masks/dots/dots_14_mask.png,segmentation_dataset/predicted_masks/dots/dots_14_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,536,520,536,520,536,520,yes,yes,yes,0.26042982,0.25869331,b15b0b1b44b09ebc11aae27ae196610cefc26fc978dd012b123d7ae4e2216839,3d06dda8975beaa228a48fcc9b6ccd4e7e0ccb0daa9f23e204da1b769a3f533f,72729773bfe61d7ef4e965fd995c6766067f7848af4bb33d0cafb40c69e01412,
irregular_01,irregular,segmentation_dataset/images/irregular/irregular_01.png,segmentation_dataset/ground_truth_masks/irregular/irregular_01_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_01_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,482,528,482,528,482,528,yes,yes,yes,0.20003065,0.1956573,53ce1acdb3a1cabf1623d2a37af0977a5849ad45c83132dfebd0630959d56e02,d7bc28daa640bba3069e8e5ae509ad42e590f1a90dd2ecd427f2f45a0174c2d9,6dbd9816305e24d7cbc1ed3d552a18ec1291b945de3bf5763971993dfe492ee6,
irregular_02,irregular,segmentation_dataset/images/irregular/irregular_02.png,segmentation_dataset/ground_truth_masks/irregular/irregular_02_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_02_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,253,277,253,277,253,277,yes,yes,yes,0.12762375,0.12559752,f6ca194fa5cc9f1311ef1ca762bf3591dea563ec3a90593f323b05cef9b1029f,72d29660723726a45da6d473d5a57db643c957152d55538b574cef23ddb05755,9e28ecbdb435af11a208850b81ea2541b5d2a9bc8cd952d239723fc044fe0717,
irregular_03,irregular,segmentation_dataset/images/irregular/irregular_03.png,segmentation_dataset/ground_truth_masks/irregular/irregular_03_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_03_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,362,310,362,310,362,310,yes,yes,yes,0.14679202,0.14577615,2ded8e6a08dbde0454ffdc8d09ade1675b557b60c1f21346147588f119bf9ad1,42740593531ffe3102028881ee05d0a646bf9bc7f5144a6415810add254328da,cc2ead39708cd9a7a7a8ad496d85fe5692d9947ef421979af48a7cb93edf5956,
irregular_04,irregular,segmentation_dataset/images/irregular/irregular_04.png,segmentation_dataset/ground_truth_masks/irregular/irregular_04_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_04_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,343,239,343,239,343,239,yes,yes,yes,0.1306586,0.13112214,8da4255124c812daee4be01dec8ff27afd838fbd07e87e36926eef624d7d0862,39edfb7587220a9582037925ef4013b1d465bdc216f59f10138ff4b23dbb9a38,98fc32a8cc18be461d43eccb8e469aa5d0049306bb3a6c051d9888840f88fb64,
irregular_05,irregular,segmentation_dataset/images/irregular/irregular_05.png,segmentation_dataset/ground_truth_masks/irregular/irregular_05_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_05_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,353,386,353,386,353,386,yes,yes,yes,0.15006825,0.14834358,9a85f1cd239a129d11abe1a5c287f7ea2d672127af5fc0fbdc47ab119e6faec5,99c0b80b36b7b67a0e68e1774ab1ef954e9c61ef8093dc016af121c18051ecc4,1e9faff4ee45a73cca50e6e02cae809673c72fa76503b2dbf937688d68a36c1c,
